分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Cluster,CPU 负载高水位,集群全部节点的 CPU 利用率都超过 95%,stress-ng,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,Y,,
,,集群全部节点的 CPU 利用率都超过 99%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,Y
,内存资源耗尽,集群全部节点的内存利用率都超过 95%,stress-ng,P1,Automated,testcases.fault.node.os.fault_node_memory_stressor,,Y,,
,,集群全部节点的内存利用率都超过 99%,,P2,Automated,testcases.fault.node.os.fault_node_memory_stressor,,,,Y
,存储空间耗尽,集群的可用存储空间不足 5%,fallocate,P1,Automated,testcases.fault.cluster.fault_consume_storage_space,,,,Y
,,集群的可用存储空间不足 2%,,P1,Automated,testcases.fault.cluster.fault_consume_storage_space,,,,
,,集群的存储空间使用率接近 100%,,P2,Automated,testcases.fault.cluster.fault_consume_storage_space,,,,
,电压不稳定,集群所在机房电源电压不稳定,,P3,Pending,,,,,
Node,存储空间耗尽,任意一个节点的可用存储空间不足 5%,fallocate,P2,Pending,,,,,
,,任意一个节点的可用存储空间不足 2%,,P2,Pending,,,,,
,,任意一个节点的存储空间使用率接近 100%,,P2,Pending,,,,,
Power Supply,输入欠压,ZBS Metad Leader 所在的主节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Metad Follower 所在的主节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,Zookeeper Leader 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个 Zookeeper Follower 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,ZBS Taskd Leader 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Taskd Follower 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,ZBS NTPd Leader 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个 ZBS NTPd Follower 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,Primary MongoDB 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个 Secondary MongoDB 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,运行 Prometheus 服务的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,Siren Leader 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,NTPm Leader 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个 NTPm Follower 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,集群内 NTP Server 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个非集群内 NTP Server 所在的节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,一个存储节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,,（物理机部署）双活集群的仲裁节点的电源输入欠压,,P3,Pending,,,,,
Power Supply,输入过压,ZBS Metad Leader 所在的主节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Metad Follower 所在的主节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,Zookeeper Leader 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,一个 Zookeeper Follower 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,ZBS Taskd Leader 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Taskd Follower 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,ZBS NTPd Leader 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,一个 ZBS NTPd Follower 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,Primary MongoDB 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,一个 Secondary MongoDB 所在的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,运行 Prometheus 服务的节点的电源输入过压,,P3,Pending,,,,,
Power Supply,,Siren Leader 所在的节点的电源输入过压,,P3,Pending,,,,,
