分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Node,硬件问题导致的宕机 / 无响应,ZBS Metad Leader 所在的主节点宕机,,P0,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个 ZBS Metad Follower 所在的主节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,Zookeeper Leader 所在的节点宕机,,P0,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个 Zookeeper Follower 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,ZBS Taskd Leader 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个 ZBS Taskd Follower 所在的节点宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,ZBS NTPd Leader 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个 ZBS NTPd Follower 所在的节点宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,Primary MongoDB 所在的节点宕机,,P0,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个 Secondary MongoDB 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,运行 Prometheus 服务的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,Siren Leader 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,NTPm Leader 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个 NTPm Follower 所在的节点宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,集群内 NTP Server 所在的节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个非集群内 NTP Server 所在的节点宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,一个存储节点宕机,,P1,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（3 副本集群）一个主节点和一个存储节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,（3 副本集群）两个存储节点同时宕机,,P2,Pending,,,,,
Node,硬件问题导致的宕机 / 无响应,双活集群的仲裁节点宕机,,P3,Pending,,,,,
Node,优雅重启,ZBS Metad Leader 所在的主节点优雅重启一次,sudo reboot,P0,Automated,testcases.fault.node.power.fault_node_reboot,Y,,Y,Y
Node,优雅重启,ZBS Metad Leader 所在的主节点持续优雅重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS Metad Follower 所在的主节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,Y,,Y,
Node,优雅重启,一个 ZBS Metad Follower 所在的主节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Zookeeper Leader 所在的节点优雅重启一次,,P0,Automated,testcases.fault.node.power.fault_node_reboot,Y,,Y,Y
Node,优雅重启,Zookeeper Leader 所在的节点持续优雅重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 Zookeeper Follower 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,Y,,Y,
Node,优雅重启,一个 Zookeeper Follower 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,ZBS Taskd Leader 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,ZBS Taskd Leader 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS Taskd Follower 所在的节点优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS Taskd Follower 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,ZBS NTPd Leader 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,ZBS NTPd Leader 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS NTPd Follower 所在的节点优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS NTPd Follower 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Primary MongoDB 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,Y
Node,优雅重启,Primary MongoDB 所在的节点持续优雅重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 Secondary MongoDB 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 Secondary MongoDB 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,Y,,
Node,优雅重启,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,运行 Prometheus 服务的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,运行 Prometheus 服务的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Siren Leader 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Siren Leader 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
