分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
操作系统,挂起 / 无响应,ZBS Metad Leader 所在的主节点的操作系统挂起,,P0,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,一个 ZBS Metad Follower 所在的主节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,Zookeeper Leader 所在的节点的操作系统挂起,,P0,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,一个 Zookeeper Follower 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,ZBS Taskd Leader 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,一个 ZBS Taskd Follower 所在的节点的操作系统挂起,,P2,Pending,,,,,
操作系统,,ZBS NTPd Leader 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,一个 ZBS NTPd Follower 所在的节点的操作系统挂起,,P2,Pending,,,,,
操作系统,,Primary MongoDB 所在的节点的操作系统挂起,,P0,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,一个 Secondary MongoDB 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,运行 Prometheus 服务的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,Siren Leader 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,NTPm Leader 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,一个 NTPm Follower 所在的节点的操作系统挂起,,P2,Pending,,,,,
操作系统,,集群内 NTP Server 所在的节点的操作系统挂起,,P1,Pending,,,,,
操作系统,,一个非集群内 NTP Server 所在的节点的操作系统挂起,,P2,Pending,,,,,
操作系统,,一个存储节点的操作系统挂起,,P1,Pending,,,,,
