分类,运维动作,运维场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
节点运维,挂载盘,ZBS Metad Leader 所在的主节点挂载一块元数据盘,,P0,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个 ZBS Metad Follower 所在的主节点挂载一块元数据盘,,P1,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,Zookeeper Leader 所在的节点挂载一块元数据盘,,P0,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个 Zookeeper Follower 所在的节点挂载一块元数据盘,,P1,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,ZBS Taskd Leader 所在的节点挂载一块元数据盘,,P1,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个 ZBS Taskd Follower 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,ZBS NTPd Leader 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个 ZBS NTPd Follower 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,Primary MongoDB 所在的节点挂载一块元数据盘,,P0,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个 Secondary MongoDB 所在的节点挂载一块元数据盘,,P1,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,运行 Prometheus 服务的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,Siren Leader 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,NTPm Leader 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个 NTPm Follower 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,集群内 NTP Server 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个非集群内 NTP Server 所在的节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,一个存储节点挂载一块元数据盘,,P2,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,任意一个节点挂载一块缓存盘,,P1,Automated,testcases.node.tc_mount_disk,,,,
节点运维,,任意一个节点挂载一块数据盘,,P1,Automated,testcases.node.tc_mount_disk,,,,Y
节点运维,卸载盘,ZBS Metad Leader 所在的主节点卸载一块元数据盘,,P0,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,一个 ZBS Metad Follower 所在的主节点卸载一块元数据盘,,P1,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,Zookeeper Leader 所在的节点卸载一块元数据盘,,P0,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,一个 Zookeeper Follower 所在的节点卸载一块元数据盘,,P1,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,ZBS Taskd Leader 所在的节点卸载一块元数据盘,,P1,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,一个 ZBS Taskd Follower 所在的节点卸载一块元数据盘,,P2,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,ZBS NTPd Leader 所在的节点卸载一块元数据盘,,P2,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,一个 ZBS NTPd Follower 所在的节点卸载一块元数据盘,,P2,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,Primary MongoDB 所在的节点卸载一块元数据盘,,P0,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,一个 Secondary MongoDB 所在的节点卸载一块元数据盘,,P1,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,运行 Prometheus 服务的节点卸载一块元数据盘,,P2,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,Siren Leader 所在的节点卸载一块元数据盘,,P2,Automated,testcases.node.tc_unmount_disk,,,,
节点运维,,NTPm Leader 所在的节点卸载一块元数据盘,,P2,Automated,testcases.node.tc_unmount_disk,,,,
