故障模式,故障对象,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
网络隔离,非双活集群,集群所在的数据中心与外界断网,断网,P1,Automated,,,,,
,双活集群,优先可用域所在的数据中心与外界断网,,P1,Pending,,,,,
,,次级可用域所在的数据中心与外界断网,,P2,Pending,,,,,
,,仲裁节点与外界断网,,P2,Pending,,,,,
异常断电,非双活集群,集群所在的数据中心异常断电,断电,P0,Automated,,,,,
,双活集群,优先可用域所在的数据中心异常断电,,P1,Pending,,,,,
,,次级可用域所在的数据中心异常断电,,P1,Pending,,,,,
,,仲裁节点异常断电,,P2,Pending,,,,,
数据中心空调失效,非双活集群,集群所在的数据中心空调停止工作,,P2,Pending,,,,,
,双活集群,优先可用域所在的数据中心空调停止工作,,P2,Pending,,,,,
,,次级可用域所在的数据中心空调停止工作,,P2,Pending,,,,,
,,仲裁节点所在的数据中心空调停止工作,,P3,Pending,,,,,
数据备份与恢复,备份集群数据,发起集群数据备份任务,,P1,Pending,,,,,
,从备份恢复集群数据,发起备份恢复任务,,P1,Pending,,,,,
脑裂,非双活集群,集群发生脑裂,,P2,Pending,,,,,
